"Engine","E-ngine"
"You will receive a confirmation email to confirm your subscription","U zult een mail ontvangen waarmee u uw lidmaatschap kunt bevestigen."
"There was a problem with the newsletter subscription: %s","Er was een probleem bij het doorvoeren van de nieuwsbrief aanmelding: %s"
"There was a problem with the newsletter subscription","Er was een probleem bij het doorvoeren van de nieuwsbrief aanmelding"
"Magento field name","Magento veldnaam"
"E-ngine field name","E-ngine veldnaam"
"Add extra field","Extra veld toevoegen"
"Wrong column name specified.","Foutieve kolom opgegeven."
"E-ngine transactional e-mail cache","E-ngine transactionele e-mail cache"
"The E-ngine mailing IDs are cached to prevent redundant calls to E-ngine. Refresh this cache after changing a template in E-ngine or the subject in the settings.","De IDs van de E-ngine mailings worden in een cache opgeslagen om onnodige calls naar E-ngine te voorkomen. Reset de E-ngine cache nadat de inhoud of onderwerpen van mailings zijn aangepast via Magento."
"E-ngine Configuration","E-ngine configuratie"
"Login settings","Inloggegevens"
"E-ngine Customer","E-ngine Klant"
"This is the name of your E-ngine account which also can be found in the URL when you login to E-ngine.","Dit is de naam van uw E-ngine klant account. Deze waarde kan ook worden teruggevonden in de URL wanneer u inlogt in E-ngine."
"E-ngine Username","E-ngine Gebruikersnaam"
"This is the E-ngine username which can be used to login. Please create a SOAP user in E-ngine.","Dit is de E-ngine gebruikersnaam die wordt gebruikt om in te loggen. Creeer een SOAP gebruiker in E-ngine voor dit doel."
"E-ngine Password","E-ngine Wachtwoord"
"This is the E-ngine password which can be used to login. Please create a SOAP user in E-ngine.","Dit is het E-ngine wachtwoord dat wordt gebruikt om in te loggen. Creeer een SOAP gebruiker in E-ngine voor dit doel."
"Mailinglist ID","Mailinglijst ID"
"This is the E-ngine mailinglist for which the users should be subscribed.","Geef het ID van de mailinglijst op waar de abonnees lid van moeten worden."
"Extra fields","Extra velden"
"These extra fields will be added to the subscriber data while syncing to E-ngine.","Deze extra velden worden toegevoegd aan de abonnees wanneer ze worden doorgegeven aan E-ngine."
"Campaign management","Campagne beheer"
"Action ID - Signup form","Actieflow ID - Aanmeld formulier"
"This is the E-ngine action ID which should be used when the signup form is used.","Deze actieflow ID wordt gebruikt wanneer abonnees zich via het aanmeldformulier aanmelden."
"Action ID - Order","Actieflow ID - Aankoop"
"This is the E-ngine action ID which should be used when a subscriber signs up during an order.","Deze actieflow ID wordt gebruikt wanneer abonnees zich aanmelden tijden het doen van een aankoop."
"Action ID - Account","Actieflow ID - Account"
"This is the E-ngine action ID which should be used when a users subscribes from their account.","Deze actieflow ID wordt gebruikt wanneer abonnees zich aanmelden bij het bewerken van hun profiel."
"Marketing","Marketing"
"Enable ecommerce pixel","Marketing module activeren"
"Should an pixel be placed on the 'success' page after completing an order? This makes the turnover from your newsletter visible in E-ngine.","Dient er een meetpixel te worden geplaatst op de 'bedankt' pagina na het voltooien van een aankoop. Dit zorgt er voordat de omzet van uw nieuwsbrief in E-ngine zichtbaar wordt."
"E-ngine client/mailinglist ID","E-ngine klant/mailinglijst ID"
"This is the E-ngine client/mailinglist ID which can be found in the marketing pixel example on the page Marketing > Lead Tracking API.","Dit is een combinatie van uw E-ngine klant/mailinglijst ID. U kunt dit terugvinden op de pagina Marketing > Lead Tracking API (formaat: 1a2b3c4d5e__1a2b3c4d5e)"
"E-ngine subdomain","E-ngine subdomein"
"This is the E-ngine subdomain which is setup for the specified mailinglist.","Het E-ngine subdomein dat staat ingesteld voor de aangegeven mailinglijst in E-ngine (bv http://newsletter.uwdomein.nl)"
"Checkout Success Page URL","Bedankt pagina URL"
"Please type in the relative URL of your checkout success page url. Standard is /checkout/onepage/success","Dit is de relatieve URL van uw bedankt pagina. Standaard is dit /checkout/onepage/succes"
"Include shipping costs?","Verzendkosten opnemen?"
"If enabled, the value in the marketing pixel will also include the shipping costs and the shipping costs will be added as a seperate product in the pixel.","Indien geactiveerd worden in de meetpixel ook de verzendkosten opgenomen. Er wordt een aparte regel toegevoegd zodat de verzendkosten afzondelijk in E-ngine terug komen."
"Include tax?","BTW opnemen?"
"If enabled, the value in the marketing pixel will also include tax.","Indien geactiveerd worden de prijzen in de meetpixel inclusief BTW doorgegeven."
"Transactional e-mail","Transactionele e-mail"
"Enable transactional e-mail via E-ngine","Verstuur transactionele e-mail via E-ngine"
"Should the transactional emails (order confirmation / new signups / etc.) be sent by E-ngine?","Indien geactiveerd worden transactionele emails (order bevestigingen / nieuwe klanten / etc.) via E-ngine verzonden."
"Enable testing mode?","Test modus actief?"
"Should the transactional mails be sent to specified test addresses? In this case, the regular subscribers will receive the mail via the Magento default setup.","Als de test modus actief is, wordt enkel het opgegeven adres via E-ngine gemaild. De klanten ontvangen de mails op de reguliere wijze via Magento."
"Test address","Test e-mailadres"
"This test address will receive the transactional mails sent by E-ngine","Dit e-mailadres zal een kopie van alle transactionele e-mail ontvangen via E-ngine."
"E-ngine Config Section","E-ngine Configuratie Sectie"
"Synchronize subscribers","Abonnees synchroniseren"
"Should Magento synchronize the subscribers to E-ngine? This will automatically subscribe/unsubscribe users in E-ngine if a user subscribers to your store its newsletter through a signup box or their account.","Dient Magento de abonnees naar E-ngine te synchroniseren? Dit zal abonnees automatisch aan/afmelden in E-ngine wanneer ze zich aanmelden via een box of via hun account."